Gene_ID,Gene_full_name,Resistant_or_Susceptible_strains,Relative_expression_levels,SD
Entpd2,Ectonucleoside triphosphate diphosphohydrolase 2,Resistant,0.359,0.114
Edf1,Endothelial differentiation-related factor 1,Resistant,0.35,0.375
Garnl3,GTPase activating RANGAP domain-like 3,Resistant,0.601,0.292
Nfatc2,"Nuclear factor of activated t-cells, cytoplasmic, calcineurin-dependent 2",Resistant,0.178,0.174
Psmd5,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 5",Resistant,0.644,0.049
Ppp2r4,"Protein phosphatase 2A, regulatory subunit B ",Resistant,0.902,0.108
Ubac1,Ubiquitin associated domain containing 1,Resistant,0.865,0.96
Tubb2c,Tubulin b 2c ,Resistant,0.846,0.506
Entpd2,Ectonucleoside triphosphate diphosphohydrolase 2,Susceptible,0.654,0.16
Edf1,Endothelial differentiation-related factor 1,Susceptible,0.47,0.109
Garnl3,GTPase activating RANGAP domain-like 3,Susceptible,0.674,0.158
Nfatc2,"Nuclear factor of activated t-cells, cytoplasmic, calcineurin-dependent 2",Susceptible,0.693,0.147
Psmd5,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 5",Susceptible,0.963,0.123
Ppp2r4,"Protein phosphatase 2A, regulatory subunit B ",Susceptible,0.734,0.15
Ubac1,Ubiquitin associated domain containing 1,Susceptible,0.73,0.971
Tubb2c,Tubulin b 2c ,Susceptible,0.925,0.477
